문장,유형,극성,시제,확실성,label
이미 녹은 물이나 얼어붙은 토양에서 나온 물이 토양을 오염시키며 화산이나 호수 등 식수로 유입될 가능성도 있다!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
이 섬에서 자연체험하는 좋았다 온천은 어디일까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
둘이의 행복은 있을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 확진된 사람이이면 마약류는 재사용이 아닌건가? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
하지만 20세기 초에 미국인들을 더 큰 공포로 몰아넣었던 것은 2002년의 엽문이 때이었죠?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
17년뒤 예비신부와 충청권을 보면 소나기가 내리는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
영화가 흔들리는 이유가 무엇일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"장마나 태풍, 지진이라는 계절적 요인에서 승용차 이용률도 증가하고 추위가 오면 점검에서 미뤘던 지진이 발생할 거라 예상됨.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
걸그룹의 스윙인가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
코로나19 확진 치료를 받은 유아들도 기부 사과을 할까?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
미국의 전통 의학은 층 트릴을 항암제로 인식하지 않을까요?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
신종 코로나바이러스 감염증 ( 우한 폐렴 ) 사태 수습하고 내수 정상화에 힘써야 할 때 미국과 약속한 2000억달러 ( 약 2조원 ) 추가 기부로 제대로 이행하기 힘들 것이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
하지만 내가 그곳을 알면 다르지 않을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"＂ 네트워크를 업그레이드한면, 다음 시즌 기회 될 때마다 고객들에게 또 다른 서비스로 드려야 하지 않을까. ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"또 진주나 동토에 녹은 물이 토양을 오염시키거나, 강과기 등 식수가 유입 될 가능성도 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"다음날인 18일 아침 최저기온은 19~23도, 낮 최고기온은 26~32도가 예상된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"결국 국내 은행들은 상대적으로 손쉬운 부동산 사업에 다시 집중하고, 외국인 투자자들은 더 이상 한국 부동산 업자들을 쳐다보지 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
내가 그것에 대해 오래 전에 잊어버렸나봐?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
근데? 조선 군대는 그냥 겁내 집단 아닌가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
미국의 전통 의학은 층 트릴로지 항암제로 발전하지 않을까요?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"결국 국내 은행들은 상대적으로 손쉬운 이자 사업에 다시 집중하고, 외국인 노동자들은 아닌 이상 한국 금융회사들을 쳐다보지 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
토론한 블루제이스의 첫 선발투수로 2020년 메이저리그에 선발된은 류현진 ( 33 ) 에게 올해 성적표는 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
언제쯤 코로나19 관련 기사를 쓰지 않아도 되는 세상이 올까요.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"＂ 네트워크를 업그레이드한면, 앞으로 시즌2 될 때마다 고객에게도 좀 다른 서비스로 드려야 하지 않을까? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
갑자기 아파트가 흔들리는 이유는 무엇일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
토론토 블루제이스의 첫 목표로 2020년 메이저리그에 선발 등판하는 류현진 ( 33 ) 의 마지막 노리는 영화?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"신종 코로나바이러스 감염증 ( 우한 폐렴 ) 사태 수습하고 내수 정상화에 힘써야 할 때 미국과 약속한 2000억달러 ( 약 2조원 "" 추가 기부로 제대로 이행하기는 힘들 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
국보♡예 숭례문 현판은 누가 썼나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
제주도에도 골목은 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 환자 입장에서 편의성이나 안전성 등은요? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 5G와 AI ( AI ) 의 변화가 가져올 미래는 어떤 모습일지. ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
13일달에는 우리 남부와 충청지역의 비가 오는 날이옵니다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 임신부터에이가 다이어트가 큰 영향을 줬나?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
이달 24일부터 27일이지 스페인 바르셀로나의 투어는 세계 최대 모바일 업체와 모바일 베트콩그레이드 ( MWC ) 에 참가하는 국내 아이돌도 줄어들 전망이다.,예측형,부정,현재,불확실,예측형-부정-현재-불확실
＂ 모유 착용하면 안돼에게 코로나가 전염될 위험은?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
핵무기로 우릴 위협하는 북한이 가장 두려워 하는 것이 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
개봉 17일 낮 기온 개봉 전날 시간에 봤는데 2 ~ 3번도 영화까지 올라 평년보다 조금 낮겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
""" 그래서 마약 판매책은누구야? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
대테러 논란거리가 될만큼 상황이 급했나요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
안구테러 작전거리가 될 정도의 상황이 열악하다.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"일본은 빙하나 동성애가 얇아서 물이 토양을 오염되거나, 강과먼지 등 식수가 유입될 확률도 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 모유 섭취로 아이에게 코로나가 전염될 수 있나요.?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"정보화 시대에는 자고 일어나 잠들어서 화면에서 뇌로 정보를 전달받듯이 타인의 공간 속에서 존재한다. 낮에서 이루어지는 모든 순간의 대화가 정말 내입 속에 존재하는것이 걸까, 아니면 정보일까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
동영상을 보고 꼭지만 보라고 인생 끝이라 말했었다?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
＂ 유산된 아기와 신생아랑 같이 침대에서 일어나요군요. ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
마약 유통 공룡들은 어떤 생활환경을 유지하고 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
대딸 작전거리가 될 정도로 상황이 불편했나요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
다만 푸드테크협의가에서 대기업과 스타트업 간택이 필요할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그렇다면 서울과 서울 말고 다양한 지역에서 살아야할 저 곳은 어디길래.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"신종 코로나바이러스 감염증 ( 우한 폐렴'사태 해결과 내수 정상화에 힘써야 할 중국이 미국과 약속한 2000억달러, 약 231조원 ) 추가 구매를 제대로 운영하기는 어려울 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
""" 기존 제품과 다른 제품은 뭘까요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
공짜 돈을 주는 것에 반대할 도민 없지 없다.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 모유 비누로 영아에게 코로나가 전염되는 확률은? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 기존 음식과 다른 점은 뭔데요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
네이버는 코로나19 관련 기사를 쓰지 않게 되는 날이 올까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
걸그룹의 몰락인가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 확진된 산모랑 신생아가 같은 방에서 있을 수가 있다고. ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"＂의에 친절한 거, 앞으로 손님이 될 때마다 고객에게도 좀 다른 의미로 드려야하지 않을까? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
17일 뒤면 경기 남부와 같은 지방의 축제가 오는 날이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
전라도에서는 서해상을 중심으로 돌풍과 함께 천둥 · 번개를 치는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
평양에서는 서해 전체를 중심으로 백두산과 함께 천둥 · 화산이 많은 곳이다!,예측형,미정,미래,불확실,예측형-미정-미래-불확실
오! 왜 아내는 필적으로 무시당하지?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
공주와 공주의 우정 대단하지만 우리는들은 공주들의 삶을 살았는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
내가 이가에 대해 보기 전에 잊어버렸네요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
남자와 여자는 친구가 될수 있을까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이제 국내 은행들은 본격적으로 한국 부동산 장사에 다시 투자할 것이고, 외국인 사업가들은 한국 영업에 더 이상 팔지 않았을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
＂5G와 인공지능(AI)의 진화가 가져올 미래는 어떤 모습일까.＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"왜, 영화에 있는 건 무엇일까요?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
미래에 이 시장은 어떻게 될까요.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
뭐가 스윙일까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
어떤 스윙스.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
어떻게 한명만 별일이 일어날까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
국내 유통업체들은 어떤 생존환경을 준비하고 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이런 반전이 있을 수 있어도 지난해 2개월 뒤와 같은 하락장이 나올 확률은 없지 않습니다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
아마도 내륙에도 짙은 가시가 끼인 곳이 있겠다 ~,예측형,미정,미래,불확실,예측형-미정-미래-불확실
어떤 종류의 스윙인가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"지난 년 17일은 밤부터 서울이 서리가 켜져 낮부터 밤 사이 전남과 전남 진주, 강원 중남과 내륙, 충청과 전북 진주, 전남 전북, 경상 서부에 진주가 오는 곳이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
모유 수유 중인 유아에게 모유NID - 19세 전염될 위험은 있나요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
대테러 작전거리가 될 정도로 상황이 급했나요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
국가의 미래가 진행될 가장 중요한 일을 자신이 책임지고 일하겠다고 생각하는 사람이 누구일까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 확인된 유아복입고 침구는 어떻게으로가 가능한가요? """,대화형,미정,미래,불확실,대화형-미정-미래-불확실
오! 우리 아내는 필적으로 무시당하지?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
사업을하고 나서 위만 누르는게 가능하다고 믿나?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
팬들 1인당 10만원씩을 쓴다고 과연 얼마나 소비 진작 효과가 생길까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
코로나 관련 기사를 쓰지 않아도 되는 날은 언제쯤 올까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
영화에서 유혹을 피할 수는 없을까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
요즘도 이런가 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"이달 24 ~ 27일 ( 현지 영화제, 스페인 바르셀로나에서 열리었던 세계최강 모바일 전시회 모바일월드 브이그레스 ( MWC ) 에 참가하는 국내 기업들도 있을 것으로 보인다.",예측형,부정,현재,불확실,예측형-부정-현재-불확실
＂ 코로나19로 확진된 영아도 마스크를 착용해야 하나?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
단기 하락도 있을 수 있지만 지난해 11월 이후 같은 하락 확률은 크지 않다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
우리나라의 경제력의 25분의1 에 불과한 미개한 국민성이 대한민국 인구절벽의 대한 대한민국의 마지막 희망일 것 같다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그러나 20세기 초반 미국인들을 더 큰 공포로 몰아넣은 것은 1929년의 대공황이 아니었을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
한국인 경제력의 25분의 1에 불과한 북한 경제력이 정말 인구절벽에 선 대한민국의 마지막 희망인 것 같다?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
송송가 지인은 작품의 소유권을 정리하지 않았나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"결국 국내 은행들은 상대적으로 손쉬운 이자 장사에만 다시 몰두하고 있고, 외국인 투자자들이 한국 금융사를 더 이상 쳐다보지도 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
불안하고 위험한 환경이 인간의 뇌로 하여금 편리한 안전을 선택하게 될 때 미래 사회는 어떻게 될까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
남자와 여자가 대화가 될 수 있나?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"백 교수는 ""국내에 그런 것이 없다 보니 LP주 2차 시장이 본격 가동되고 있고, 중소형 M도 본격 가동되고 있다""고 말했다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"장마나 태풍, 태풍이라는 계절적 요인에서 승용차 이용률도 증가하여 추위가 오면 점검을 미뤘던 고장이 발생할 거라 예상됨.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
개봉 1주일 전 기온 개봉 전날 시간에 봤는데 3 ~ 3번째 영화까지 본 평년보다 조금 낮겠다?,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 향후 아이돌 보급대상은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 5G와 AI ( 인간 ) 의 조화가 가져올 미래는 무슨 모습일지. ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"＂ 무모한돈키호테인가, 용감한 영웅인가...",대화형,미정,현재,불확실,대화형-미정-현재-불확실
까마년에 잊고 있었던 걸까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
여자가 돈 주겠다는 데 마다할 한남이 과연 있을까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
자녀 1명에 1명씩의 소비의 효과가 있다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
다만 푸드업협이 한국에서도 강남스타일과 스타트업의 협력이 가능할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 임산부의 욕심, 이 임신 과정에 어떤 영향을 끼치는가 """,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 임신부터에이가 다이어트가 큰 영향을 미치나?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
북한이 핵무기로 우릴 침략하는 것을 가장 두려워 하는 것은 무엇인가.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이미 녹는 물이라 얼어붙는 자연에 나오는 도시 토양을 복구해 하천이나 호수등 물로 오염 될 가능성도 있다!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
예상 강수량은 5시40㎜로. 충남서해전과 전라전서시엔 3㎜ 내외의 비가 내리리라!,예측형,미정,미래,불확실,예측형-미정-미래-불확실
그렇다면 제주도 · 수도권 여러 지역 중 눈여겨볼 만한 곳은어디일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그래도 막상 그곳을 건드린다면 안돼요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
북한이 핵무기으로로 위협한다는 세상에서 가장 두려워하는 것은 무엇인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"금요일인 30일은 밤의 행사로 물이 흐려져 낮과 낮 사이 전남의 경기 진주, 강원 중남의 전남, 충청과 전북 동부, 전북 진주, 강원도 지방에 태풍이 오는 이유가 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂엔터에이터가 더 큰그림인가나요? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
하지만 이건 한국인의 편견일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
독일 출신 베네딕토 16명과 아르헨티나 출신 사무엘 교황 외엔 무슨 일이 있었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"특히, 소나기가 내리는 지역에선 돌풍과 더불어 화산 · 번개가 치고 중부대륙 지역을 보면 우박이 없는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
핵무기로 우릴 침략하는 북한이랑 더 다른 것이 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
하지만 20세기 초에 미국인들을 더 큰 공포로 몰아넣었던 것은 1929년의 대공문이 때이었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
제월호 태풍 마이삭 ( KYSAD ) 이 오는 2 ~ 3일 전국에 강한 바람과 그 일부로에 400㎜ 의 물폭탄이 시작된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"하지만, 뇌가 기능성 ( neuro - plasticle ) 의 생각일까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
송 큐레이터는 지인의 작품 소유진한테 실패한거 아님?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
북한이 핵무기로 우리를 위협하는 것을 가장 두려워하는 이유가 무엇인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
남한민들의 5분의 1에 불과한 저 주민들이 얼마나 그 위기에 놓인 남한인의 마지막 희망일까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"지난 24 ~ 27억 ( 현지 ), 스페인 바르셀로나에서 월드컵 이어 국내최대 수익인 모바일월드 콩그레스 ( 현지 ) 을 참가하는 국내 기업들도 줄어들 것으로 보임.",예측형,부정,현재,불확실,예측형-부정-현재-불확실
한편 17일 낮 기온이 전날보다 3 ~ 5도 내외로 올라 평년보다 조금 낮겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
혈액 조사기란 무엇인가?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
하지만 20년년전에 미국인들을 더 큰 공포에 몰아넣은 것은 2002년의 대공황이 아니었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
국보 1호 숭례문 현판는 과연 어디다 썼을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
제9호동'메이킹'MAYSAK )'은 2달부터 5년 동안 전국에 기름가 강하게 부는 일부 지역에 400개의 폭탄폭탄이 쏟아질 것으로 예상된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
제9호의'메이킹 ( MAYSAK )'은 2달부터 3일 동안 전국에 바람이 강하게 부는 일부 지역에 400㎜ 이상의 물폭탄이 쏟아질 것으로 예상된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
모유 수유 중인 유아에게 COVID-19가 전염될 위험은 무엇인가?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그래서 양씨는 형편없는 남주였죠.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"나루토 블루맨스 1선발로, 메이저리그를 우승하는 감독 ( 33 ) 의 그 성적표는 어떨까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 임신부가 감염되면 임신 경과에 어떤 영향을 미치나. ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"그렇다면, 조선에서 제일 유명한 집은 누구일까요?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
사업을 하고 나서 위만 누르면 끝난다는걸 믿었어요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
그렇다면 서울 · 수도권 여러 지역 중 눈여겨볼 없는 곳은 어디일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
[ 5G와 인공지능? 의 진화로 미래는 어떻게 될까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"＂ 는 생선키호테인가, 그집 아닌가?!?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"The P2O, Online and Offline, 넷플릭스 ( 넷플릭스 ) 가 현재 1위 / 2위를 차지하고 있는 세계부류가 맞아 떨어질때가 이 한 해의 정복 · 합병 ( A & A ) 를 중심으로 몸집이 커지거나 스케일을 잡아 나에게 따라 향후 분야의 격차이 더욱 치열해질 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
까마득 잊고 있었던 걸까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"""환자의 입장에서 편의성과 안전성은 어떨까요?＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
거기도 골목식당?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
17일 전 경기남부와 충청권을 중심으로 소나기가 온 곳이다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"예상 강수량은 5∼40㎜로, 충남서해안과 전라전서부엔 5㎜ 내외의 비가 내리리라.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
그런데 본인은 누구?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
요즘 이런 영화가 개봉하는 이유는 무엇일까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"＂무모한 돈키호테인가, 용감한 영웅인가?＂.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 임신부터에이가 규모가 큰데 미치나?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
세종시 아파트가 안팔된 이유는 왜요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
제주도 시장은 앞으로 어떻게 될까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그 다음 같은 내용과 다른 것이 있을까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
